station,datetime,lon,lat,elev,precip
79S,2011-01-18 17:15,-110.6365,47.8451,874.00,0.00
79S,2011-01-18 17:35,-110.6365,47.8451,874.00,0.00
79S,2011-01-18 17:55,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 01:17,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 01:37,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 01:57,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 02:17,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 02:37,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 02:57,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 03:17,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 03:37,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 03:57,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 04:17,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 04:37,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 04:57,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 05:17,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 05:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 05:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 06:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 06:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 06:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 07:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 07:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 07:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 08:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 08:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 08:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 09:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 09:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 09:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 10:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 10:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 10:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 11:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 11:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 11:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 12:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 12:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 12:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 13:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 13:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 13:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 14:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 14:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 14:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 15:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 15:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 15:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 16:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 16:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 16:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 17:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 17:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 17:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 18:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 18:38,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 18:58,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 19:18,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 19:39,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 19:59,-110.6365,47.8451,874.00,0.00
79S,2011-01-19 20:19,-110.6365,47.8451,874.00,0.00
