station,datetime,lon,lat,elev,precip
88M,2011-01-20 08:18,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 08:38,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 08:58,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 09:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 09:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 09:58,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 10:18,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 10:38,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 10:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 11:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 11:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 11:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 12:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 12:38,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 12:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 13:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 13:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 13:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 14:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 14:38,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 14:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 15:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 15:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 15:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 16:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 16:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 16:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 17:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 17:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 17:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 18:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 18:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 18:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 19:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 19:38,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 19:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 20:19,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 20:39,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 20:59,-115.0764,48.9738,813.00,0.00
88M,2011-01-20 21:19,-115.0764,48.9738,813.00,0.00
